Name,ShortName,StartDate,City,Country,ExternalUrl
"2nd International Conference on Advances in Computing, Communication and Networking (ICAC2N2025)",ICACCN2025,2026-10-29T18:30:00Z,Greater Noida,India,https://icac3n.in/
"International Conference on Emerging Innovations in Quantum, Computing, Communications and AI Applications",ICQCCA2026,2026-10-29T08:00:00Z,Bangalore,India,https://www.qakas.com/index3.html
"International Conference on Artificial Intelligence and Digital Humanities: practices, challenges and future directions",AIDH2026,2026-10-27T08:00:00Z,Algiers,Algeria,http://aidh.cerist.dz/
International Conference on Electrical Sciences and Technologies in the Maghreb (CISTEM 2026),Cistem2026,2026-10-27T07:00:00Z,Constantine,Algeria,https://lec-umc.org/cistem2026
4th International Conference on Microwave Antenna and Communication ,MAC2026,2026-10-23T08:00:00Z,Prayagraj,India,https://www.macconf.com/
2026 International Conference on Artificial Intelligence and Robotic Systems (ICAIRS2026),ICAIRS2026,2026-10-23T08:00:00Z,Tianjin,China,https://www.icairs.net/
"4th International Conference on Automation, Signal Processing, Instrumentation and Control",iCASIC2026,2026-10-23T08:00:00Z,Vellore,India,https://vit.ac.in/conference/iCASIC2026/
From Animals to Animats: The 18th International Conference on the Simulation of Adaptive Behavior,SAB2026,2026-10-19T08:00:00Z,Berlin,Germany,https://sab-conference.org/
2026 IEEE International Phased Array Symposium,ARRAY2026,2026-10-19T08:00:00Z,"Boston, MA",United States,https://www.ieee-array.org/
2026 2nd International Conference on Medical Robotics and Artificial Intelligence ,CMRAI2026,2026-10-16T08:00:00Z,Chengdu,China,https://cmrai.org/
"International Conference on Electronics, AI and Computing 2026",EAIC2026,2026-10-15T08:00:00Z,Jalandhar,India ,https://eaicnitj.com
"The 6th International Conference on Electrical, Computer, Communications and Mechatronics Engineering ",ICECCME2026,2026-10-15T08:00:00Z,Bali,Indonesia,https://www.iceccme.com/2026/
Advances in Business Management Conference 2026,ABM2026,2026-10-15T08:00:00Z,Palma,Spain,https://advancesinbusinessmanagement.org/
"International Conference on Information Technology and Applications (ICITA) , Finland",ICITAFinland2026,2026-10-14T08:00:00Z,Helsinki,Finland,https://www.icita.world
Future Technologies Conference 2026,FTC2026,2026-10-15T08:00:00Z,Berlin,Germany,https://saiconference.com/FTC
The 58th IEEE International Carnahan Conference on Security Technology (ICCST),ICCST2026,2026-10-13T23:00:00Z,Las Palmas de Gran Canaria,Spain,https://site.ieee.org/iccst/2026-las-palmas-gran-canaria-spain/
"2nd International Conference on Intelligent Control, Computing and Communications (IC3)",ICCC2026,2026-10-14T21:00:00Z,MATHURA,INDIA,https://conferences.glbajajgroup.ac.in/index.php/IC3_2026
Creative Mathematical Sciences Communication 2026,CMSC2026,2026-10-12T08:00:00Z,Padova,Italy,https://cmsc2026.github.io
Teaching Innovations in Higher Education 2025,TIHigherEd2023,2025-01-06T23:00:00Z,Valladolid,Spain,https://virtuva.uva.es/site/innovacion-docente/
4th International Conference on Data Science and Network Security,ICDSNS2026,2026-10-09T08:00:00Z,Tiptur,India,https://icdsns.co.in/index.php
"International Conference on AI for Sustainable, Inclusive & Responsible Futures 2026",AISIRF2026,2026-10-08T08:00:00Z,Pune,India,https://ai-sirf.christuniversity.in/
International Conference on Digital Technologies and Applications26 ,ICDTA2026,2026-10-09T08:00:00Z,New York,USA,https://icdta.ma
 IEEE International Conference on Innovation in Computing Data And Electronics ,InCODE2026,2026-10-08T18:30:00Z,Bhopal,India ,https://oriental.ac.in/oist-bhopal/incode
"IEEE International Conference on Semiconductors, Microelectronics, Packaging & Computing Technologies",IEEESiMPaCT2026,2026-10-08T08:00:00Z,Dwarahat,India,https://attend.ieee.org/simpact/
"International Conference on Statistical Modeling, Optimization, and Data Science ",SMODS2026,2026-10-08T08:00:00Z,Jaipur,India,https://icsmods.in/
2026 25th International Conference on Machine Learning and Applications,ICMLA2026,2026-10-05T08:00:00Z,Rochester,USA,https://icmla-conference.org/icmla26/
"ConvergentAI 2026 International Conference on AI, Humanity, and Sustainable Systems",ConvergentAI2026,2026-10-05T08:00:00Z,Jakarta,Indonesia,https://convergent-ai.org/
MICCAI Satellite Events 2026,MICCAISAT2026,2026-10-04T08:00:00Z,Abu Dhabi,United Arab Emirates,https://conferences.miccai.org/2026/en/default.asp
International Conference on Intelligent Systems and Network Computing,ICISNC2026,2026-09-07T08:00:00Z,Cheerapunji,India,https://sites.nitm.ac.in/icisnc/
